Region,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,England region unknown,Wales,Scotland,Northern Ireland,"Guernsey, Jersey and the Isle of Man",UK region unknown
North East,2035,75,150,30,25,30,135,65,25,5,0,45,5,0,5
North West,70,6330,270,90,195,95,460,165,95,65,90,80,5,10,25
Yorkshire and The Humber,150,290,3905,190,75,90,310,120,60,40,15,45,5,0,25
East Midlands,30,170,320,2975,290,170,390,220,105,20,25,40,5,5,10
West Midlands,30,210,100,225,4370,115,405,230,185,30,75,35,5,0,25
East of England,40,100,100,135,100,2880,1400,375,115,20,25,55,0,5,20
London,35,120,85,90,140,515,11135,860,140,95,40,90,10,0,55
South East,40,150,135,135,160,325,2285,5765,345,45,70,75,10,5,30
South West,35,85,65,60,140,120,595,515,3495,20,105,55,5,5,15
England region unknown,10,80,30,10,20,25,115,45,25,0,10,20,5,0,5
Wales,10,160,25,30,110,45,190,120,175,5,2355,25,0,0,10
Scotland,55,75,60,35,35,65,295,95,55,5,20,6330,10,0,15
Northern Ireland,25,110,30,15,25,25,130,45,20,5,10,75,1900,0,5
"Guernsey, Jersey and the Isle of Man",0,5,10,5,0,0,15,20,10,0,0,0,0,70,0
UK region unknown,0,10,5,0,5,5,15,5,5,0,0,0,0,0,0
North East,4975,255,420,105,85,65,365,125,65,30,30,120,10,0,15
North West,290,14935,985,340,465,245,1305,430,300,155,260,210,20,10,90
Yorkshire and The Humber,480,875,9260,570,250,210,1010,280,150,120,60,130,5,10,60
East Midlands,160,540,880,6940,715,520,1250,625,290,55,95,75,5,5,45
West Midlands,80,750,395,850,10900,235,1320,620,585,90,260,75,10,10,60
East of England,95,365,410,645,330,9055,4600,1195,445,85,100,105,15,5,65
London,90,325,240,315,385,1315,21240,2020,420,200,110,120,15,10,175
South East,120,425,340,485,510,805,6585,15050,1440,160,255,180,20,20,125
South West,45,325,205,200,400,255,2080,1285,9095,80,420,100,15,10,45
England region unknown,0,15,25,15,10,10,40,20,10,0,0,0,0,0,0
Wales,30,575,105,85,240,100,555,265,510,25,6290,50,0,10,25
Scotland,95,195,105,70,90,90,600,215,110,5,40,11935,30,0,20
Northern Ireland,100,305,65,50,55,55,270,90,65,10,35,330,5525,5,10
"Guernsey, Jersey and the Isle of Man",10,25,15,10,10,5,70,40,25,0,5,10,0,235,5
UK region unknown,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
North East,1045,15,25,5,10,10,20,10,5,10,5,20,0,0,0
North West,15,2040,40,15,40,5,45,20,15,25,30,5,0,0,5
Yorkshire and The Humber,40,55,1110,45,15,10,35,20,15,25,5,5,0,0,0
East Midlands,5,25,55,885,70,50,30,45,15,10,0,5,0,0,5
West Midlands,10,55,20,65,1840,15,50,40,40,15,20,0,0,0,5
East of England,5,10,15,40,15,1530,250,80,20,15,15,5,0,0,5
London,5,15,10,20,30,100,2170,195,30,25,5,5,0,0,5
South East,10,15,15,35,25,70,280,2130,80,20,10,15,0,0,5
South West,5,15,10,10,35,10,55,120,1310,15,20,5,0,0,0
England region unknown,0,5,0,0,5,0,5,5,5,0,0,0,0,0,0
Wales,0,60,10,5,30,10,25,25,50,0,1475,5,0,0,5
Scotland,5,15,0,10,5,5,20,15,5,0,0,1750,5,0,0
Northern Ireland,5,15,0,0,5,0,15,5,0,0,0,5,515,0,0
"Guernsey, Jersey and the Isle of Man",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
UK region unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0